,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
0,ts300399,Five Came Back: The Reference Films,SHOW,"This collection includes 12 World War II-era propaganda films — many of which are graphic and offensive — discussed in the docuseries ""Five Came Back.""",1945,TV-MA,51,['documentation'],['US'],1.0,,,,0.6,
1,tm84618,Taxi Driver,MOVIE,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,1976,R,114,"['drama', 'crime']",['US'],,tt0075314,8.2,808582.0,40.965,8.179
2,tm154986,Deliverance,MOVIE,"Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country.",1972,R,109,"['drama', 'action', 'thriller', 'european']",['US'],,tt0068473,7.7,107673.0,10.01,7.3
3,tm127384,Monty Python and the Holy Grail,MOVIE,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",1975,PG,91,"['fantasy', 'action', 'comedy']",['GB'],,tt0071853,8.2,534486.0,15.460999999999999,7.811
4,tm120801,The Dirty Dozen,MOVIE,"12 American military prisoners in World War II are ordered to infiltrate a well-guarded enemy château and kill the Nazi officers vacationing there. The soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences.",1967,,150,"['war', 'action']","['GB', 'US']",,tt0061578,7.7,72662.0,20.398,7.6
5,ts22164,Monty Python's Flying Circus,SHOW,"A British sketch comedy series with the shows being composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines.",1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,tt0063929,8.8,73424.0,17.617,8.306000000000001
6,tm70993,Life of Brian,MOVIE,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",1979,R,94,['comedy'],['GB'],,tt0079470,8.0,395024.0,17.77,7.8
7,tm14873,Dirty Harry,MOVIE,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.",1971,R,102,"['thriller', 'action', 'crime']",['US'],,tt0066999,7.7,155051.0,12.817,7.5
8,tm119281,Bonnie and Clyde,MOVIE,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",1967,R,110,"['crime', 'drama', 'action']",['US'],,tt0061418,7.7,112048.0,15.687000000000001,7.5
9,tm98978,The Blue Lagoon,MOVIE,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",1980,R,104,"['romance', 'action', 'drama']",['US'],,tt0080453,5.8,69844.0,50.324,6.156000000000001
10,tm44204,The Guns of Navarone,MOVIE,"A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.",1961,,158,"['action', 'drama', 'war']","['GB', 'US']",,tt0054953,7.5,50748.0,13.844000000000001,7.3
11,tm67378,The Professionals,MOVIE,An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,1966,PG-13,117,"['western', 'action', 'european']",['US'],,tt0060862,7.3,16446.0,13.123,7.1
12,tm69997,Richard Pryor: Live in Concert,MOVIE,"Richard Pryor delivers monologues on race, sex, family and his favorite target—himself, live at the Terrace Theatre in Long Beach, California.",1979,R,78,"['comedy', 'documentation']",['US'],,tt0079807,8.1,5141.0,4.718,7.5
13,tm16479,White Christmas,MOVIE,Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.,1954,,115,"['romance', 'comedy']",['US'],,tt0047673,7.5,42488.0,8.915,7.2
16,tm156453,FTA,MOVIE,"A documentary about a political troupe headed by actors Jane Fonda and Donald Sutherland which traveled to towns near military bases in the US in the early 1970s. The group put on shows called ""F.T.A."", which stood for ""F**k the Army"", and was aimed at convincing soldiers to voice their opposition to the Vietnam War, which was raging at the time. Various singers, actors and other entertainers performed antiwar songs and skits during the show.",1972,R,97,"['war', 'documentation', 'music', 'comedy']",['US'],,tt0068562,6.2,418.0,1.268,6.1
24,tm259855,We Are All for the Fatherland,MOVIE,"After the 1978 Israeli invasion of Lebanon, children try to sing the national anthem as citizens search for hope in the war-torn South.",1979,,74,['documentation'],"['LB', 'CA', 'FR']",,tt0170799,6.1,47.0,0.6,5.2
32,tm259684,Whispers,MOVIE,"At every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.",1980,,93,['documentation'],"['CA', 'FR', 'LB']",,tt0170803,7.8,78.0,0.6,5.0
35,ts20681,Seinfeld,SHOW,A stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in New York City in the '90s. It's a show about nothing.,1989,TV-PG,24,['comedy'],['US'],9.0,tt0098904,8.9,308824.0,130.213,8.301
36,tm155787,GoodFellas,MOVIE,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",1990,R,145,"['drama', 'crime']",['US'],,tt0099685,8.7,1131681.0,50.387,8.463
37,tm22327,Full Metal Jacket,MOVIE,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,1987,R,117,"['war', 'drama']","['US', 'GB']",,tt0093058,8.3,729274.0,32.937,8.1
38,tm180542,Once Upon a Time in America,MOVIE,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",1984,R,139,"['crime', 'drama', 'european']","['US', 'IT']",,tt0087843,8.3,345714.0,28.936999999999998,8.453
39,tm138875,When Harry Met Sally...,MOVIE,"During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.",1989,R,96,"['comedy', 'romance', 'drama']",['US'],,tt0098635,7.7,216199.0,15.123,7.4
40,tm2386,A Nightmare on Elm Street,MOVIE,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",1984,R,91,['horror'],"['GB', 'US']",,tt0087800,7.4,234068.0,48.358000000000004,7.3
41,tm133087,Steel Magnolias,MOVIE,"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship and welcome her into the fold.",1989,PG,119,"['comedy', 'drama', 'romance']",['US'],,tt0098384,7.3,54946.0,11.69,7.2
42,tm177480,Police Academy,MOVIE,"New rules enforced by the Lady Mayoress mean that sex, weight, height and intelligence need no longer be a factor for joining the Police Force. This opens the floodgates for all and sundry to enter the Police Academy, much to the chagrin of the instructors. Not everyone is there through choice, though. Social misfit Mahoney has been forced to sign up as the only alternative to a jail sentence and it doesn't take long before he falls foul of the boorish Lieutenant Harris. But before long, Mahoney realises that he is enjoying being a police cadet and decides he wants to stay... while Harris decides he wants Mahoney out!",1984,R,97,"['crime', 'comedy']",['US'],,tt0087928,6.7,124881.0,25.533,6.6
43,tm54450,Christine,MOVIE,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.",1983,R,110,"['horror', 'thriller', 'european']",['US'],,tt0085333,6.7,81922.0,23.418000000000003,6.8
44,ts22082,Knight Rider,SHOW,"Michael Long, an undercover police officer, is shot while investigating a case and left for dead by his assailants. He is rescued by Wilton Knight, a wealthy, dying millionaire and inventor who arranges life-saving surgery, including a new face and a new identity--that of Michael Knight. Michael is then given a special computerized and indestructible car called the Knight Industries Two Thousand (nicknamed KITT), and a mission: apprehend criminals who are beyond the reach of the law. The series depicts Michael's exploits as he and KITT battle the forces of evil on behalf of the Foundation for Law and Government.",1982,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",['US'],4.0,tt0083437,6.9,34115.0,50.266999999999996,7.5
45,ts21715,Thomas & Friends,SHOW,"Thomas & Friends is a British children's television series, which had its first broadcast on the ITV network on 4 September 1984. It is based on The Railway Series of books by the Reverend Wilbert Awdry and his son, Christopher Awdry. These books deal with the adventures of a group of anthropomorphised locomotives and road vehicles who live on the fictional Island of Sodor. The books were based on stories Wilbert told to entertain his son, Christopher during his recovery from measles. From Series one to four, many of the stories are based on events from Awdry's personal experience.",1984,TV-Y,10,"['animation', 'family', 'comedy', 'fantasy', 'drama', 'action', 'music']",['GB'],24.0,tt0086815,6.5,5104.0,42.196000000000005,6.5
46,ts20678,Saved by the Bell,SHOW,"Lovable schemer Zack Morris leads his pals on adventures at California's Bayside High School. The friends navigate relationships, final exams, school dances, breakups and more while frequently frustrating their principal, Mr. Richard Belding, who does his best to keep them in check.",1989,TV-G,23,"['family', 'comedy', 'romance']",['US'],5.0,tt0096694,7.1,35034.0,19.855,8.0
47,tm145608,Awakenings,MOVIE,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",1990,PG-13,120,"['drama', 'european']",['US'],,tt0099077,7.8,139240.0,12.23,7.8
48,ts25028,Wheel of Fortune,SHOW,"This game show sees contestants solve word puzzles, similar to those used in Hangman, to win cash and prizes determined by spinning a giant carnival wheel.",1983,TV-G,26,['family'],['US'],39.0,tt0072584,6.7,3145.0,5.935,6.8
49,tm147710,National Lampoon's Christmas Vacation,MOVIE,"It's Christmastime, and the Griswolds are preparing for a family seasonal celebration. But things never run smoothly for Clark, his wife Ellen, and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going, knowing that his Christmas bonus is due soon.",1989,PG-13,97,"['comedy', 'european']",['US'],,tt0097958,7.5,185760.0,18.862000000000002,7.2
50,tm142895,Lean On Me,MOVIE,"When principal Joe Clark takes over decaying Eastside High School, he's faced with students wearing gang colors and graffiti-covered walls. Determined to do anything he must to turn the school around, he expels suspected drug dealers, padlocks doors and demands effort and results from students, staff and parents. Autocratic to a fault, this real-life educator put it all on the line.",1989,PG-13,105,['drama'],['US'],,tt0097722,7.4,20680.0,19.449,7.3
51,tm20712,Eddie Murphy Raw,MOVIE,"Eddie Murphy delights, shocks and entertains with dead-on celebrity impersonations, observations on '80s love, sex and marriage, a remembrance of Mom's hamburgers and much more.",1987,R,90,"['comedy', 'documentation']",['US'],,tt0092948,7.6,19757.0,7.992000000000001,7.3
52,tm117580,She's Gotta Have It,MOVIE,"The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner.",1986,R,84,"['romance', 'comedy']",['US'],,tt0091939,6.7,14472.0,7.416,6.707000000000001
53,ts23753,Major Dad,SHOW,"Major Dad is an American sitcom created by Richard C. Okie and John G. Stephens, developed by Earl Pomerantz, that originally ran from 1989 to 1993 on CBS, starring Gerald McRaney as Major John D. MacGillis and Shanna Reed as his wife Polly. The cast also includes Beverly Archer, Matt Mulhern, Jon Cypher, Marisa Ryan, Nicole Dubuc and Chelsea Hertford.",1989,TV-PG,24,"['comedy', 'family']",['US'],4.0,tt0096643,6.5,2922.0,9.849,6.5
54,tm130586,Endless Love,MOVIE,"Two young kids fall in love with each other. But the passion is too consuming for the parents of Jade. The parents try to stop them from seeing each other. But when this doesn't work, David burns down the house and is sent away. This doesn't stop him from seeing her. When he gets out he goes to look for her. But the passion for his first love is too strong and she has to leave.",1981,R,116,"['romance', 'drama']",['US'],,tt0082329,4.9,8524.0,19.116,5.7
55,ts987,Danger Mouse,SHOW,"Danger Mouse, the world's greatest secret agent, and his side-kick Penfold work to foil the evil schemes of Baron Greenback.",1981,TV-Y,14,"['animation', 'comedy', 'family', 'scifi', 'european']",['GB'],10.0,tt0081848,7.4,3545.0,8.55,7.5
59,ts2760,Fireman Sam,SHOW,"Follow the adventures of fireman Sam and his colleagues as they protect the citizens of the Welsh town of Pontypandy. Whenever the alarm sounds, brave Sam and his co-workers can be counted on to jump into a fire engine, hop onto a helicopter, or even launch an inflatable lifeboat to battle blazes, mount rescue missions, or provide medical attention to those in need.",1987,TV-Y,10,"['animation', 'comedy', 'family', 'crime', 'european']",['GB'],13.0,tt0329829,6.1,1785.0,37.647,7.2
60,tm21953,Sam Kinison: Breaking the Rules,MOVIE,"This is a great performance. Through yelling and energetic story-telling, he talks about marriage, drugs, being arrested (thanks to his ex-wife), pleasing women, religion, and much, much more.",1987,R,50,"['comedy', 'documentation']",['US'],,tt0307403,7.2,660.0,1.8430000000000002,7.2
62,tm152839,Tim Allen: Men Are Pigs,MOVIE,"Comedian Tim Allen shares his enthusiasm for power tools, automobiles, grunting, and the myriad obsessions of the American male in this special for the Showtime premium cable network, which was aired a few years before he rose to stardom with the television sitcom Home Improvement.",1990,,30,"['comedy', 'documentation']",['US'],,tt0259057,6.1,360.0,2.4819999999999998,6.3
64,tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,"Monty Python perform many of their greatest sketches at the Hollywood Bowl, including several from pre-Python days.",1982,R,81,"['comedy', 'documentation']",['GB'],,tt0084352,7.9,15230.0,6.832999999999999,7.4
67,tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,"Steve Martin presents selected sketches from ""Monty Python's Flying Circus (1969)"". It's the well known sketches, though the parrot sketch is not included. Steve Martin has some funny comments on the Pythons.",1989,,72,['comedy'],['GB'],,tt0213984,8.1,1522.0,1.801,6.9
68,tm38736,Too Young The Hero,MOVIE,"TV movie based upon the true story of Calvin Graham, who, as a 12 year old boy, enlisted in the US Navy during WWII.",1988,,100,"['drama', 'war']",['US'],,tt0096286,6.7,502.0,1.485,6.2
69,tm51083,A Stoning in Fulham County,MOVIE,Religious beliefs clash with the law when an Amish infant is killed in a rural community.,1988,,120,"['thriller', 'crime', 'drama']",['US'],,tt0096179,5.9,387.0,1.01,5.8
70,tm137013,The Ryan White Story,MOVIE,"The story of Ryan White, a 13-year-old haemophiliac who contracted AIDS from factor VIII, which was used to control this disorder.",1989,,102,['drama'],['US'],,tt0098237,7.2,863.0,1.9809999999999999,5.9
72,tm258072,Adam: His Song Continues,MOVIE,"Follows the true story of John and Reve Walsh who, after their child was murdered, fought to raise national awareness of the problem of missing children.",1986,,100,"['crime', 'drama']",['US'],,tt0090589,7.0,212.0,1.6030000000000002,7.0
73,tm114356,The George McKenna Story,MOVIE,"Washington plays a school principal in a tough inner city Los Angeles high school out to rid it of drugs, gangs, low moral of teachers, and restore educational values.",1988,,100,['drama'],['US'],,tt0091106,6.0,921.0,2.296,6.1
74,tm157853,In Defense of a Married Man,MOVIE,"When a defense lawyer's adulterous husband becomes the prime suspect in the murder of the woman he was cheating with, his wife chooses to defend him. Can she overcome his betrayal while searching for the truth?",1990,,94,"['drama', 'crime']",['US'],,tt0099396,5.6,207.0,2.444,4.9
75,tm132164,Bill Hicks: Sane Man,MOVIE,"Sane Man was filmed before Bill recorded ‘Dangerous’, his first comedy album, and is a turning point in Hicks’ career. It was the first complete Hicks show ever filmed and Bill pulled out all the stops for the cameras. Completely focused, a newly-sober Hicks paces the stage like a wild animal riffing effortless.",1989,R,80,['comedy'],['US'],,,,,3.377,7.5
80,tm24110,Strange Voices,MOVIE,A family begins to fall apart when their eldest daughter is diagnosed with schizophrenia.,1987,,100,['drama'],['US'],,tt0094052,6.3,360.0,2.76,6.8
82,tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,"Film that tells the story of Los Gatos (California) high school football coach Charlie Wedemeyer. At 31, onetime football pro Wedemeyer is living the American dream; a winning team, a happy marriage and public adulation.",1988,,100,['drama'],['US'],,tt0095945,7.2,144.0,2.246,8.0
83,ts63001,High Risk,SHOW,"High Risk is a program aired by the CBS television network as part of its 1988 fall lineup.

The genesis of High Risk was a 1988 strike by members of both the Writers Guild of America, East and Writers Guild of America, west against the Alliance of Motion Picture and Television Producers. Unable to produce regular, scripted series, programs such as High Risk were put together to serve as replacements under fear of a two-year lockout.

The CBS 100% in-house production featured ""high-risk"" stunts and jobs such as Border Patrol agent, automobile repo men, cave explorers, and thrilling roller-coaster testers.

Intended as a two-year commitment, strike or no strike, High Risk received unanimous condemnations and was cancelled after being presented for one night. The show was hosted by Wayne Rogers.",1988,TV-PG,50,['comedy'],['US'],1.0,tt5944220,3.8,6.0,1.4,
90,tm147829,Unspeakable Acts,MOVIE,Two psychologist try to demonstrate that a man is a pedophile and has abused many children.,1990,,100,['drama'],['US'],,tt0100848,6.1,464.0,2.075,5.3
91,ts20981,Survivor,SHOW,"A reality show contest where sixteen or more castaways split between two or more “Tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “Immunity”, forcing the other tribe to attend “Tribal Council”, where they must vote off one of their players.",2000,TV-PG,48,['reality'],['US'],42.0,tt0239195,7.4,24687.0,54.19,7.4
92,tm107744,Mission: Impossible,MOVIE,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",1996,PG-13,110,"['thriller', 'action']",['US'],,tt0117060,7.1,420673.0,41.115,6.9
93,ts22176,Stargate SG-1,SHOW,"The story of Stargate SG-1 begins about a year after the events of the feature film, when the United States government learns that an ancient alien device called the Stargate can access a network of such devices on a multitude of planets. SG-1 is an elite Air Force special operations team, one of more than two dozen teams from Earth who explore the galaxy and defend against alien threats such as the Goa'uld, Replicators, and the Ori.",1997,TV-PG,44,"['scifi', 'drama', 'action']","['CA', 'US']",10.0,tt0118480,8.4,90196.0,88.851,8.3
94,tm15897,Se7en,MOVIE,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",1995,R,127,"['crime', 'thriller', 'drama']",['US'],,tt0114369,8.6,1606270.0,51.633,8.352
96,tm191013,Boogie Nights,MOVIE,"Set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. Adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""Dirk Diggler"". Now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, Adams' dreams of turning sex into stardom are about to collide with cold, hard reality.",1997,R,156,['drama'],['US'],,tt0118749,7.9,261563.0,20.436,7.6
97,tm122434,Forrest Gump,MOVIE,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",1994,PG-13,142,"['drama', 'romance']",['US'],,tt0109830,8.8,2021343.0,63.449,8.478
98,tm25947,Snatch,MOVIE,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",2000,R,103,"['crime', 'comedy']","['US', 'GB']",,tt0208092,8.3,841435.0,25.203000000000003,7.8
99,tm43808,The Talented Mr. Ripley,MOVIE,"Tom Ripley is a calculating young man who believes it's better to be a fake somebody than a real nobody. Opportunity knocks in the form of a wealthy U.S. shipbuilder who hires Tom to travel to Italy to bring back his playboy son, Dickie. Ripley worms his way into the idyllic lives of Dickie and his girlfriend, plunging into a daring scheme of duplicity, lies and murder.",1999,R,139,"['thriller', 'drama', 'crime']",['US'],,tt0134119,7.4,207524.0,13.78,7.2
101,ts5145,The Challenge,SHOW,"Each Challenge pits numerous cast members from past seasons of reality shows against each other, dividing them into two separate teams according to different criteria, such as gender, which show they first appeared on, whether or not they're veterans or rookies on the show, etc. The two teams compete in numerous missions in order to win prizes and advance in the overall game.",1998,TV-14,40,"['reality', 'comedy', 'drama', 'scifi']",['US'],37.0,tt6274074,7.8,3362.0,18.075,7.7
102,tm191110,Titanic,MOVIE,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",1997,PG-13,194,"['drama', 'romance']",['US'],,tt0120338,7.9,1146825.0,155.683,7.877999999999999
104,tm192037,Starship Troopers,MOVIE,"Set in the future, the story follows a young soldier named Johnny Rico and his exploits in the Mobile Infantry. Rico's military career progresses from recruit to non-commissioned officer and finally to officer against the backdrop of an interstellar war between mankind and an arachnoid species known as ""the Bugs"".",1997,R,129,"['scifi', 'action', 'thriller']",['US'],,tt0120201,7.3,291452.0,29.5,6.992999999999999
105,tm27395,Mission: Impossible II,MOVIE,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.",2000,PG-13,123,"['thriller', 'action']",['US'],,tt0120755,6.1,337987.0,29.392,6.1
106,tm113513,Dumb and Dumber,MOVIE,"Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart.",1994,PG-13,107,['comedy'],['US'],,tt0109686,7.3,379999.0,31.851999999999997,6.6
108,tm192405,Gattaca,MOVIE,"In a future society in the era of indefinite eugenics, humans are set on a life course depending on their DNA. Young Vincent Freeman is born with a condition that would prevent him from space travel, yet is determined to infiltrate the GATTACA space program.",1997,PG-13,106,"['scifi', 'thriller', 'romance', 'drama']",['US'],,tt0119177,7.8,300701.0,17.789,7.553
109,tm116655,Léon: The Professional,MOVIE,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",1994,R,111,"['crime', 'drama', 'action', 'thriller', 'european']","['US', 'FR']",,tt0110413,8.5,1137357.0,51.406000000000006,8.323
110,ts21567,Gilmore Girls,SHOW,"Set in the charming town of Stars Hollow, Connecticut, the series follows the captivating lives of Lorelai and Rory Gilmore, a mother/daughter pair who have a relationship most people only dream of.",2000,TV-14,46,"['comedy', 'drama']",['US'],8.0,tt0238784,8.2,121462.0,58.578,7.827000000000001
111,tm116488,Natural Born Killers,MOVIE,Two victims of traumatized childhoods become lovers and serial murderers irresponsibly glorified by the mass media.,1994,R,118,"['thriller', 'drama', 'crime', 'action']",['US'],,tt0110632,7.3,11.0,21.933000000000003,7.1
112,tm11556,The Quick and the Dead,MOVIE,"A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman.",1995,R,107,"['action', 'thriller', 'western', 'romance']","['JP', 'US']",,tt0114214,6.5,93767.0,13.056,6.5
113,tm56574,You've Got Mail,MOVIE,"Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet—both blissfully unaware that he's trying to put her out of business.",1998,PG,119,"['comedy', 'romance', 'drama']",['US'],,tt0128853,6.7,211635.0,21.724,6.643
114,ts20960,Power Rangers,SHOW,"A team of teenagers with attitude are recruited to save Angel Grove from the evil witch, Rita Repulsa, and later, Lord Zedd, Emperor of all he sees, and their horde of monsters.",1993,TV-Y7,22,"['action', 'scifi', 'fantasy', 'family']",['US'],29.0,tt0106064,6.5,22110.0,19.699,6.8
115,tm53991,Big Daddy,MOVIE,"A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.",1999,PG-13,93,"['drama', 'comedy', 'european']",['US'],,tt0142342,6.4,215053.0,26.848000000000003,6.45
116,tm49178,Vampires,MOVIE,The church enlists a team of vampire-hunters to hunt down and destroy a group of vampires searching for an ancient relic that will allow them to exist in sunlight.,1998,R,104,"['fantasy', 'action', 'horror', 'thriller']",['US'],,tt0120877,6.1,58670.0,10.107999999999999,6.3
118,tm191989,Donnie Brasco,MOVIE,An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.,1997,R,127,"['drama', 'thriller', 'crime']",['US'],,tt0119008,7.7,303868.0,22.225,7.5
119,ts22193,The Magic School Bus,SHOW,An eccentric schoolteacher takes her class on wondrous educational field trips with the help of a magical school bus.,1994,TV-Y,26,"['animation', 'scifi', 'comedy', 'family', 'fantasy']","['CA', 'US']",4.0,tt0108847,7.8,9829.0,16.83,7.8
120,ts22489,Goosebumps,SHOW,"Anything can turn spooky in this horror anthology series based on the best-selling books by master of kid horror, R.L. Stine. In every episode, see what happens when regular kids find themselves in scary situations, and how they work to confront and overcome their fears.",1995,TV-PG,22,"['scifi', 'thriller', 'family', 'fantasy', 'horror', 'music']","['US', 'CA']",4.0,tt0111987,7.6,13493.0,63.687,7.9
122,tm121879,A River Runs Through It,MOVIE,"A River Runs Through is a cinematographically stunning true story of Norman Maclean. The story follows Norman and his brother Paul through the experiences of life and growing up, and how their love of fly fishing keeps them together despite varying life circumstances in the untamed west of Montana in the 1920's.",1992,PG,123,['drama'],['US'],,tt0105265,7.2,59854.0,19.58,7.1
123,tm44402,"Girl, Interrupted",MOVIE,"Set in the changing world of the late 1960s, Susanna Kaysen's prescribed ""short rest"" from a psychiatrist she had met only once becomes a strange, unknown journey into Alice's Wonderland, where she struggles with the thin line between normal and crazy. Susanna soon realizes how hard it is to get out once she has been committed, and she ultimately has to choose between the world of people who belong inside or the difficult world of reality outside.",1999,R,127,"['drama', 'european']","['DE', 'US']",,tt0172493,7.3,183154.0,20.424,7.6
124,tm187187,Last Action Hero,MOVIE,"Following the death of his father, young Danny Madigan takes comfort in watching action movies featuring the indestructible Los Angeles cop Jack Slater. After being given a magic ticket by theater manager Nick, Danny is sucked into the screen and bonds with Slater. When evil fictional villain Benedict gets his hands on the ticket and enters the real world, Danny and Jack must follow and stop him.",1993,PG-13,131,"['action', 'fantasy', 'comedy', 'family']",['US'],,tt0107362,6.4,150498.0,22.195999999999998,6.379
